N_Packets,N_Bytes,Idle_age,Source,Destination,Switch,Traffic,Controller,Duration,time
498,78684,8,10.0.0.35,10.0.0.36,21,high,6635,18.67,10.67
10,702,7,10.0.0.35,10.0.0.36,21,low,6635,18.677,11.677
498,78684,28,10.0.0.35,10.0.0.36,21,high,6635,38.796,10.796
7,476,7,10.0.0.36,10.0.0.35,21,low,6635,18.676,11.676
1978,1072076,42,10.0.0.42,10.0.0.41,37,high,6636,62.268,20.268
12,834,41,10.0.0.42,10.0.0.41,37,low,6636,62.281,21.281
12,834,3,10.0.0.42,10.0.0.41,37,low,6636,24.154,21.154
7,476,41,10.0.0.41,10.0.0.42,37,low,6636,62.275,21.275
1977,1071534,4,10.0.0.42,10.0.0.41,37,high,6636,24.14,20.14
7,476,3,10.0.0.41,10.0.0.42,37,low,6636,24.15,21.15
498,78684,21,10.0.0.42,10.0.0.41,37,high,6636,31.49,10.49
12,834,20,10.0.0.42,10.0.0.41,37,low,6636,31.503,11.503
498,78684,5,10.0.0.42,10.0.0.41,37,low,6636,15.85,10.85
497,78526,52,10.0.0.42,10.0.0.41,37,high,6636,62.492,10.492
11,768,4,10.0.0.42,10.0.0.41,37,low,6636,15.864,11.864
7,476,35,10.0.0.41,10.0.0.42,37,low,6636,46.779,11.779
11,768,51,10.0.0.42,10.0.0.41,37,low,6636,62.502,11.502
8,549,20,10.0.0.41,10.0.0.42,37,low,6636,31.495,11.495
11,768,35,10.0.0.42,10.0.0.41,37,low,6636,46.784,11.784
7,476,51,10.0.0.41,10.0.0.42,37,low,6636,62.497,11.497
7,476,4,10.0.0.41,10.0.0.42,37,low,6636,15.856,11.856
498,78684,36,10.0.0.42,10.0.0.41,37,high,6636,46.773,10.773
1,42,28,10.0.0.41,10.0.0.42,37,low,6636,28.918,0.918
1,42,28,10.0.0.42,10.0.0.41,37,low,6636,28.915,0.915
7,476,22,10.0.0.41,10.0.0.42,37,low,6636,33.927,11.927
498,78684,59,10.0.0.42,10.0.0.41,37,high,6636,69.574,10.574
11,768,58,10.0.0.42,10.0.0.41,37,low,6636,69.588,11.588
498,78684,23,10.0.0.42,10.0.0.41,37,high,6636,33.924,10.924
11,768,22,10.0.0.42,10.0.0.41,37,low,6636,33.931,11.931
7,476,58,10.0.0.41,10.0.0.42,37,low,6636,69.58,11.58
1,42,58,10.0.0.6,10.0.0.2,1,low,6633,58.976,0.976
1,42,58,10.0.0.2,10.0.0.6,1,low,6633,58.979,0.979
1972,1068824,43,10.0.0.6,10.0.0.2,1,high,6633,63.98,20.98
12,834,42,10.0.0.6,10.0.0.2,1,low,6633,63.994,21.994
7,476,42,10.0.0.2,10.0.0.6,1,low,6633,63.988,21.988
11,768,3,10.0.0.6,10.0.0.2,1,low,6633,24.338,21.338
1972,1068824,28,10.0.0.6,10.0.0.2,1,high,6633,48.774,20.774
12,826,27,10.0.0.6,10.0.0.2,1,low,6633,48.78,21.78
14,982,27,10.0.0.2,10.0.0.6,1,low,6633,48.781,21.781
1972,1068824,4,10.0.0.6,10.0.0.2,1,high,6633,24.324,20.324
12,822,3,10.0.0.2,10.0.0.6,1,low,6633,24.333,21.333
8,562,3,10.0.0.6,10.0.0.2,1,low,6633,23.578,20.578
1978,1072076,3,10.0.0.6,10.0.0.2,1,high,6633,23.573,20.573
14,982,2,10.0.0.2,10.0.0.6,1,low,6633,23.581,21.581
1980,1073160,28,10.0.0.6,10.0.0.2,1,high,6633,48.025,20.025
8,562,57,10.0.0.6,10.0.0.2,1,low,6633,78.735,21.735
1978,1072076,58,10.0.0.6,10.0.0.2,1,high,6633,78.73,20.73
14,982,57,10.0.0.2,10.0.0.6,1,low,6633,78.738,21.738
7,476,27,10.0.0.2,10.0.0.6,1,low,6633,48.033,21.033
9,635,27,10.0.0.6,10.0.0.2,1,low,6633,48.034,21.034
20,10840,7,10.0.0.2,10.0.0.6,1,high,6633,8.114,1.114
8,542,3,10.0.0.6,10.0.0.2,1,low,6633,5.032,2.032
12,822,6,10.0.0.6,10.0.0.2,1,low,6633,8.117,2.117
12,834,6,10.0.0.2,10.0.0.6,1,low,6633,8.119,2.119
12,838,44,10.0.0.6,10.0.0.2,1,high,6633,65.381,21.381
20,10840,2,10.0.0.2,10.0.0.6,1,high,6633,3.115,1.115
12,822,1,10.0.0.6,10.0.0.2,1,low,6633,3.119,2.119
7,503,3,10.0.0.2,10.0.0.6,1,low,6633,5.036,2.036
12,834,1,10.0.0.2,10.0.0.6,1,low,6633,3.12,2.12
19,10298,4,10.0.0.2,10.0.0.6,1,high,6633,5.032,1.032
7,468,44,10.0.0.2,10.0.0.6,1,low,6633,65.381,21.381
1984,1075328,45,10.0.0.2,10.0.0.6,1,high,6633,65.377,20.377
14,982,4,10.0.0.6,10.0.0.2,1,low,6633,5.885,1.885
20,10840,3,10.0.0.2,10.0.0.6,1,high,6633,3.779,0.779
7,476,2,10.0.0.2,10.0.0.6,1,low,6633,3.784,1.784
20,10840,5,10.0.0.2,10.0.0.6,1,high,6633,5.877,0.877
13,887,2,10.0.0.6,10.0.0.2,1,low,6633,3.784,1.784
6,403,4,10.0.0.2,10.0.0.6,1,low,6633,5.882,1.882
2,84,55,10.0.0.6,10.0.0.2,1,low,6633,80.546,25.546
2,84,55,10.0.0.2,10.0.0.6,1,low,6633,80.545,25.545
1592993,75822467018,55,10.0.0.2,10.0.0.6,1,high,6633,85.566,30.566
918804,60703776,55,10.0.0.6,10.0.0.2,1,high,6633,85.565,30.565
1,42,50,10.0.0.6,10.0.0.2,1,low,6633,50.808,0.808
2,84,50,10.0.0.2,10.0.0.6,1,low,6633,50.807,0.807
525114,34895324,25,10.0.0.6,10.0.0.2,1,high,6633,55.817,30.817
1202186,59814188908,25,10.0.0.2,10.0.0.6,1,high,6633,55.817,30.817
1,42,23,10.0.0.35,10.0.0.36,21,low,6635,23.633,0.633
1,42,23,10.0.0.36,10.0.0.35,21,low,6635,23.633,0.633
4,168,28,10.0.0.36,10.0.0.35,21,low,6635,28.64,0.64
9,602,28,10.0.0.35,10.0.0.36,21,low,6635,28.637,0.637
11,5645,28,10.0.0.36,10.0.0.35,21,high,6635,28.636,0.636
1,42,33,10.0.0.35,10.0.0.36,21,low,6635,33.691,0.691
1,42,33,10.0.0.36,10.0.0.35,21,low,6635,33.691,0.691
4,168,38,10.0.0.36,10.0.0.35,21,low,6635,38.698,0.698
10,741,6,10.0.0.35,10.0.0.36,21,low,6635,6.343,0.343
7,5381,4,10.0.0.36,10.0.0.35,21,high,6635,4.79,0.79
11,5645,38,10.0.0.36,10.0.0.35,21,high,6635,38.694,0.694
8,524,5,10.0.0.35,10.0.0.36,21,low,6635,5.488,0.488
2,140,5,10.0.0.36,10.0.0.35,21,low,6635,5.484,0.484
12,5711,2,10.0.0.36,10.0.0.35,21,high,6635,2.221,0.221
9,602,38,10.0.0.35,10.0.0.36,21,high,6635,38.695,0.695
9,5513,6,10.0.0.36,10.0.0.35,21,high,6635,6.341,0.341
6,404,4,10.0.0.35,10.0.0.36,21,low,6635,4.791,0.791
12,873,2,10.0.0.35,10.0.0.36,21,low,6635,2.223,0.223
10,741,10,10.0.0.35,10.0.0.36,21,low,6635,10.671,0.671
10,741,57,10.0.0.35,10.0.0.36,21,low,6635,57.352,0.352
7,5381,55,10.0.0.36,10.0.0.35,21,high,6635,55.799,0.799
8,524,56,10.0.0.35,10.0.0.36,21,low,6635,56.497,0.497
11,5645,10,10.0.0.36,10.0.0.35,21,high,6635,10.666,0.666
11,5645,11,10.0.0.36,10.0.0.35,21,high,6635,11.337,0.337
2,140,56,10.0.0.36,10.0.0.35,21,low,6635,56.493,0.493
12,5711,53,10.0.0.36,10.0.0.35,21,high,6635,53.23,0.23
11,5645,12,10.0.0.36,10.0.0.35,21,high,6635,12.508,0.508
9,5513,57,10.0.0.36,10.0.0.35,21,high,6635,57.35,0.35
6,404,55,10.0.0.35,10.0.0.36,21,low,6635,55.8,0.8
10,668,11,10.0.0.35,10.0.0.36,21,low,6635,11.34,0.34
10,741,12,10.0.0.35,10.0.0.36,21,low,6635,12.517,0.517
12,873,53,10.0.0.35,10.0.0.36,21,low,6635,53.232,0.232
1,42,40,10.0.0.6,10.0.0.2,1,low,6633,40.449,0.449
3,126,40,10.0.0.2,10.0.0.6,1,low,6633,40.446,0.446
553155,36735190,15,10.0.0.6,10.0.0.2,1,high,6633,45.451,30.451
1266393,62424095266,15,10.0.0.2,10.0.0.6,1,high,6633,45.449,30.449
2,140,3,10.0.0.35,10.0.0.36,21,high,6635,3.996,0.996
10,741,49,10.0.0.35,10.0.0.36,21,low,6635,49.204,0.204
9,602,13,10.0.0.36,10.0.0.35,21,low,6635,13.841,0.841
11,5645,49,10.0.0.36,10.0.0.35,21,high,6635,49.87,0.87
11,5645,49,10.0.0.36,10.0.0.35,21,high,6635,49.199,0.199
11,5645,51,10.0.0.36,10.0.0.35,21,high,6635,51.041,0.041
10,668,49,10.0.0.35,10.0.0.36,21,high,6635,49.873,0.873
10,5579,13,10.0.0.35,10.0.0.36,21,high,6635,13.841,0.841
11,710,3,10.0.0.36,10.0.0.35,21,low,6635,3.998,0.998
8,536,12,10.0.0.36,10.0.0.35,21,low,6635,12.295,0.295
12,5711,12,10.0.0.35,10.0.0.36,21,high,6635,12.294,0.294
10,741,6,10.0.0.36,10.0.0.35,21,low,6635,6.688,0.688
12,873,3,10.0.0.36,10.0.0.35,21,low,6635,3.088,0.088
11,5645,3,10.0.0.35,10.0.0.36,21,high,6635,3.086,0.086
10,741,51,10.0.0.35,10.0.0.36,21,low,6635,51.05,0.05
10,5579,6,10.0.0.35,10.0.0.36,21,high,6635,6.684,0.684
17,5945,3,10.0.0.35,10.0.0.36,21,high,6635,3.759,0.759
3,186,3,10.0.0.36,10.0.0.35,21,low,6635,3.752,0.752
2,84,13,10.0.0.2,10.0.0.6,1,low,6633,55.194,42.194
3,126,13,10.0.0.6,10.0.0.2,1,high,6633,55.194,42.194
53,5194,4,10.0.0.2,10.0.0.6,1,low,6633,60.202,56.202
49,4802,4,10.0.0.6,10.0.0.2,1,high,6633,59.204,55.204
3,126,5,10.0.0.2,10.0.0.6,1,low,6633,89.577,84.577
4,168,5,10.0.0.6,10.0.0.2,1,low,6633,89.577,84.577
73,7154,10,10.0.0.2,10.0.0.6,1,high,6633,94.585,84.585
69,6762,10,10.0.0.6,10.0.0.2,1,high,6633,93.587,83.587
3,126,23,10.0.0.36,10.0.0.35,21,low,6635,105.22,82.22
5,210,23,10.0.0.35,10.0.0.36,21,low,6635,105.22,82.22
1766087,116667706,2,10.0.0.36,10.0.0.35,21,high,6635,52.873,50.873
2941790,136860182052,2,10.0.0.35,10.0.0.36,21,high,6635,52.873,50.873
2024296,133673696,60,10.0.0.36,10.0.0.35,21,high,6635,110.232,50.232
3360411,153991680046,60,10.0.0.35,10.0.0.36,21,high,6635,110.233,50.233
4,168,39,10.0.0.2,10.0.0.6,1,high,6633,183.456,144.456
5,210,39,10.0.0.6,10.0.0.2,1,low,6633,183.456,144.456
93,9114,25,10.0.0.2,10.0.0.6,1,high,6633,188.464,163.464
89,8722,25,10.0.0.6,10.0.0.2,1,high,6633,187.466,162.466
1,42,50,10.0.0.36,10.0.0.35,21,low,6635,50.816,0.816
1,42,50,10.0.0.35,10.0.0.36,21,low,6635,50.812,0.812
650006,42959992,35,10.0.0.36,10.0.0.35,21,high,6635,55.824,20.824
1045054,49089969628,35,10.0.0.35,10.0.0.36,21,high,6635,55.808,20.808
1,42,23,10.0.0.6,10.0.0.2,1,low,6633,23.203,0.203
1,42,23,10.0.0.2,10.0.0.6,1,low,6633,23.198,0.198
1,42,23,10.0.0.6,10.0.0.2,1,low,6633,23.198,0.198
1,42,23,10.0.0.2,10.0.0.6,1,low,6633,23.205,0.205
1,54,28,10.0.0.6,10.0.0.2,1,low,6633,28.217,0.217
20,1960,3,10.0.0.2,10.0.0.6,1,high,6633,22.812,19.812
20,1960,3,10.0.0.6,10.0.0.2,1,high,6633,22.813,19.813
1,42,17,10.0.0.36,10.0.0.35,21,low,6635,17.806,0.806
1,42,17,10.0.0.35,10.0.0.36,21,low,6635,17.793,0.793
923844,61010532,2,10.0.0.36,10.0.0.35,21,high,6635,22.817,20.817
1440356,65262128208,2,10.0.0.35,10.0.0.36,21,high,6635,22.816,20.816
1,42,16,10.0.0.2,10.0.0.6,1,low,6633,16.606,0.606
2,84,16,10.0.0.6,10.0.0.2,1,low,6633,16.605,0.605
24,2352,2,10.0.0.2,10.0.0.6,1,high,6633,21.61,19.61
19,1862,2,10.0.0.6,10.0.0.2,1,high,6633,20.611,18.611
890637,58843022,2,10.0.0.36,10.0.0.35,21,high,6635,21.656,19.656
1554861,72569214234,1,10.0.0.35,10.0.0.36,21,high,6635,21.641,20.641
1,42,54,10.0.0.21,10.0.0.22,12,low,6634,54.465,0.465
8,6225,50,10.0.0.21,10.0.0.22,12,high,6634,50.123,0.123
7,543,50,10.0.0.22,10.0.0.21,12,low,6634,50.685,0.685
9,6291,51,10.0.0.21,10.0.0.22,12,high,6634,51.269,0.269
10,6357,54,10.0.0.21,10.0.0.22,12,high,6634,54.462,0.462
10,741,51,10.0.0.22,10.0.0.21,12,low,6634,51.273,0.273
7,6159,51,10.0.0.21,10.0.0.22,12,high,6634,51.892,0.892
7,470,50,10.0.0.22,10.0.0.21,12,low,6634,50.124,0.124
7,6159,50,10.0.0.21,10.0.0.22,12,high,6634,50.683,0.683
8,536,52,10.0.0.22,10.0.0.21,12,low,6634,52.542,0.542
11,807,54,10.0.0.22,10.0.0.21,12,low,6634,54.465,0.465
6,404,51,10.0.0.22,10.0.0.21,12,low,6634,51.893,0.893
12,6489,52,10.0.0.21,10.0.0.22,12,high,6634,52.542,0.542
9,594,3,10.0.0.22,10.0.0.21,12,low,6634,3.938,0.938
10,6357,3,10.0.0.21,10.0.0.22,12,high,6634,3.039,0.039
10,6357,2,10.0.0.21,10.0.0.22,12,high,6634,2.267,0.267
12,873,2,10.0.0.22,10.0.0.21,12,low,6634,2.272,0.272
10,741,3,10.0.0.22,10.0.0.21,12,low,6634,3.04,0.04
12,6489,3,10.0.0.21,10.0.0.22,12,high,6634,3.94,0.94
9,594,45,10.0.0.22,10.0.0.21,12,low,6634,45.999,0.999
7,470,8,10.0.0.22,10.0.0.21,12,low,6634,8.258,0.258
8,536,8,10.0.0.22,10.0.0.21,12,low,6634,8.832,0.832
10,6357,45,10.0.0.21,10.0.0.22,12,low,6634,45.1,0.1
12,873,44,10.0.0.22,10.0.0.21,12,low,6634,44.333,0.333
10,6357,44,10.0.0.21,10.0.0.22,12,low,6634,44.328,0.328
9,675,9,10.0.0.22,10.0.0.21,12,low,6634,9.455,0.455
9,6291,9,10.0.0.21,10.0.0.22,12,high,6634,9.453,0.453
11,6435,8,10.0.0.21,10.0.0.22,12,high,6634,8.832,0.832
8,6225,8,10.0.0.21,10.0.0.22,12,high,6634,8.255,0.255
12,6489,45,10.0.0.21,10.0.0.22,12,high,6634,46.001,1.001
10,741,45,10.0.0.22,10.0.0.21,12,low,6634,45.101,0.101
1060810,70256916,2,10.0.0.42,10.0.0.41,37,high,6636,35.542,33.542
2125224,101404859256,0,10.0.0.41,10.0.0.42,37,high,6636,35.542,35.542
1,42,11,10.0.0.41,10.0.0.42,37,low,6636,11.511,0.511
1,42,11,10.0.0.42,10.0.0.41,37,low,6636,11.516,0.516
1815749,120111382,2,10.0.0.42,10.0.0.41,37,high,6636,52.879,50.879
3111979,145862558158,2,10.0.0.41,10.0.0.42,37,high,6636,52.879,50.879
1,42,33,10.0.0.6,10.0.0.2,1,low,6633,33.863,0.863
10,6369,25,10.0.0.6,10.0.0.2,1,high,6633,25.515,0.515
9,6291,24,10.0.0.6,10.0.0.2,1,high,6633,24.979,0.979
6,404,29,10.0.0.2,10.0.0.6,1,low,6633,29.812,0.812
7,470,25,10.0.0.2,10.0.0.6,1,low,6633,25.515,0.515
8,608,29,10.0.0.2,10.0.0.6,1,low,6633,29.152,0.152
7,6159,29,10.0.0.6,10.0.0.2,1,high,6633,29.15,0.15
8,536,24,10.0.0.2,10.0.0.6,1,low,6633,24.981,0.981
11,806,26,10.0.0.2,10.0.0.6,1,low,6633,26.08,0.08
7,542,30,10.0.0.2,10.0.0.6,1,high,6633,30.363,0.363
11,6437,27,10.0.0.6,10.0.0.2,1,high,6633,27.952,0.952
12,10833,24,10.0.0.6,10.0.0.2,1,high,6633,24.527,0.527
9,6291,28,10.0.0.6,10.0.0.2,1,high,6633,28.542,0.542
9,674,31,10.0.0.2,10.0.0.6,1,low,6633,31.684,0.684
8,536,33,10.0.0.2,10.0.0.6,1,low,6633,33.859,0.859
10,740,28,10.0.0.2,10.0.0.6,1,low,6633,28.544,0.544
14,1088,24,10.0.0.2,10.0.0.6,1,high,6633,24.529,0.529
8,6225,27,10.0.0.6,10.0.0.2,1,high,6633,27.372,0.372
7,6159,29,10.0.0.6,10.0.0.2,1,high,6633,29.811,0.811
8,608,26,10.0.0.2,10.0.0.6,1,low,6633,26.777,0.777
10,740,27,10.0.0.2,10.0.0.6,1,low,6633,27.374,0.374
11,6435,33,10.0.0.6,10.0.0.2,1,high,6633,33.859,0.859
7,6159,30,10.0.0.6,10.0.0.2,1,high,6633,30.362,0.362
8,560,27,10.0.0.2,10.0.0.6,1,low,6633,27.953,0.953
10,6357,26,10.0.0.6,10.0.0.2,1,high,6633,26.079,0.079
11,6435,26,10.0.0.6,10.0.0.2,1,high,6633,26.776,0.776
10,6369,31,10.0.0.6,10.0.0.2,1,high,6633,31.684,0.684
7,6159,30,10.0.0.6,10.0.0.2,1,high,6633,30.9,0.9
6,404,30,10.0.0.2,10.0.0.6,1,low,6633,30.901,0.901
1,42,22,10.0.0.21,10.0.0.22,12,low,6634,22.739,0.739
1,42,22,10.0.0.22,10.0.0.21,12,low,6634,22.727,0.727
1001,542542,0,10.0.0.21,10.0.0.22,12,high,6634,10.347,10.347
4,280,10,10.0.0.22,10.0.0.21,12,low,6634,10.359,0.359
6,432,10,10.0.0.21,10.0.0.22,12,low,6634,10.361,0.361
8,561,27,10.0.0.21,10.0.0.22,12,low,6634,48.772,21.772
1977,1071534,28,10.0.0.21,10.0.0.22,12,high,6634,48.761,20.761
10,682,27,10.0.0.22,10.0.0.21,12,high,6634,48.774,21.774
1,42,12,10.0.0.41,10.0.0.42,37,low,6636,12.489,0.489
1,42,12,10.0.0.42,10.0.0.41,37,low,6636,12.498,0.498
2267792,149791548,3,10.0.0.42,10.0.0.41,37,high,6636,53.876,50.876
3760933,174157556538,3,10.0.0.41,10.0.0.42,37,high,6636,53.875,50.875
10,716,28,10.0.0.2,10.0.0.6,1,low,6633,28.57,0.57
10,740,29,10.0.0.2,10.0.0.6,1,low,6633,29.208,0.208
11,6423,26,10.0.0.6,10.0.0.2,1,high,6633,26.535,0.535
7,470,20,10.0.0.2,10.0.0.6,1,low,6633,20.159,0.159
9,6291,27,10.0.0.6,10.0.0.2,1,high,6633,27.821,0.821
11,806,27,10.0.0.2,10.0.0.6,1,low,6633,27.822,0.822
11,6423,18,10.0.0.6,10.0.0.2,1,high,6633,18.956,0.956
8,6225,20,10.0.0.6,10.0.0.2,1,high,6633,20.156,0.156
10,740,18,10.0.0.2,10.0.0.6,1,low,6633,18.959,0.959
6,404,19,10.0.0.2,10.0.0.6,1,low,6633,19.559,0.559
6,6105,29,10.0.0.6,10.0.0.2,1,high,6633,29.939,0.939
2,140,27,10.0.0.6,10.0.0.2,1,low,6633,27.166,0.166
2,140,28,10.0.0.6,10.0.0.2,1,low,6633,28.562,0.562
11,6423,29,10.0.0.6,10.0.0.2,1,high,6633,29.206,0.206
11,6423,18,10.0.0.6,10.0.0.2,1,high,6633,18.366,0.366
11,770,27,10.0.0.2,10.0.0.6,1,low,6633,27.175,0.175
10,740,20,10.0.0.2,10.0.0.6,1,low,6633,20.718,0.718
11,806,18,10.0.0.2,10.0.0.6,1,low,6633,18.372,0.372
7,6159,19,10.0.0.6,10.0.0.2,1,high,6633,19.557,0.557
10,6357,20,10.0.0.6,10.0.0.2,1,high,6633,20.718,0.718
4,336,29,10.0.0.2,10.0.0.6,1,high,6633,29.939,0.939
12,872,26,10.0.0.2,10.0.0.6,1,high,6633,26.538,0.538
2,84,21,10.0.0.41,10.0.0.42,37,low,6636,73.712,52.712
2,84,21,10.0.0.42,10.0.0.41,37,low,6636,73.723,52.723
1768800,90267620456,57,10.0.0.41,10.0.0.42,37,high,6636,107.886,50.886
294826,19625212,5,10.0.0.42,10.0.0.41,37,high,6636,55.383,50.383
839133,44250442322,5,10.0.0.41,10.0.0.42,37,high,6636,55.39,50.39
737424,49102640,57,10.0.0.42,10.0.0.41,37,high,6636,107.888,50.888
11,768,34,10.0.0.21,10.0.0.22,12,low,6634,55.131,21.131
10,682,34,10.0.0.22,10.0.0.21,12,low,6634,55.126,21.126
8,549,7,10.0.0.22,10.0.0.21,12,low,6634,28.3,21.3
8,569,7,10.0.0.21,10.0.0.22,12,low,6634,28.335,21.335
1942,1052564,35,10.0.0.21,10.0.0.22,12,high,6634,55.085,20.085
1880,1018960,8,10.0.0.21,10.0.0.22,12,high,6634,28.247,20.247
5,210,27,10.0.0.2,10.0.0.6,1,low,6633,165.304,138.304
6,252,27,10.0.0.6,10.0.0.2,1,low,6633,165.304,138.304
144904,9610856,5,10.0.0.2,10.0.0.6,1,high,6633,55.96,50.96
354931,18435973802,5,10.0.0.6,10.0.0.2,1,high,6633,55.991,50.991
2,84,14,10.0.0.41,10.0.0.42,37,low,6636,66.454,52.454
2,84,14,10.0.0.42,10.0.0.41,37,low,6636,66.463,52.463
194787,12897230,6,10.0.0.42,10.0.0.41,37,high,6636,56.332,50.332
385445,19532695942,6,10.0.0.41,10.0.0.42,37,high,6636,56.345,50.345
181853,12048914,58,10.0.0.42,10.0.0.41,37,high,6636,108.702,50.702
414607,21472518182,58,10.0.0.41,10.0.0.42,37,high,6636,108.671,50.671
12,827,6,10.0.0.22,10.0.0.21,12,low,6634,27.454,21.454
1842,998364,32,10.0.0.21,10.0.0.22,12,high,6634,52.014,20.014
9,636,31,10.0.0.21,10.0.0.22,12,low,6634,52.069,21.069
1928,1044976,7,10.0.0.21,10.0.0.22,12,high,6634,27.376,20.376
8,569,6,10.0.0.21,10.0.0.22,12,low,6634,27.455,21.455
13,893,31,10.0.0.22,10.0.0.21,12,low,6634,52.068,21.068
10,693,59,10.0.0.22,10.0.0.21,12,low,6634,80.203,21.203
1795,972890,60,10.0.0.21,10.0.0.22,12,high,6634,80.155,20.155
9,635,59,10.0.0.21,10.0.0.22,12,low,6634,80.22,21.22
11,768,4,10.0.0.21,10.0.0.22,12,low,6634,25.884,21.884
9,616,53,10.0.0.22,10.0.0.21,12,low,6634,74.091,21.091
9,636,53,10.0.0.21,10.0.0.22,12,low,6634,74.101,21.101
7,476,4,10.0.0.22,10.0.0.21,12,low,6634,25.879,21.879
1938,1050396,5,10.0.0.21,10.0.0.22,12,high,6634,25.865,20.865
1945,1054190,54,10.0.0.21,10.0.0.22,12,high,6634,74.033,20.033
1,42,15,10.0.0.41,10.0.0.42,37,low,6636,15.217,0.217
1,42,15,10.0.0.42,10.0.0.41,37,low,6636,15.245,0.245
402149,21496052202,7,10.0.0.41,10.0.0.42,37,high,6636,57.561,50.561
125730,8345212,7,10.0.0.42,10.0.0.41,37,high,6636,57.601,50.601
1,42,19,10.0.0.2,10.0.0.6,1,low,6633,19.845,0.845
1,42,19,10.0.0.6,10.0.0.2,1,low,6633,19.798,0.798
129740,8586084,12,10.0.0.2,10.0.0.6,1,high,6633,62.303,50.303
402950,21568662884,12,10.0.0.6,10.0.0.2,1,high,6633,62.291,50.291
1,42,15,10.0.0.41,10.0.0.42,37,low,6636,15.437,0.437
1,42,15,10.0.0.42,10.0.0.41,37,low,6636,15.468,0.468
123743,8265602,8,10.0.0.42,10.0.0.41,37,high,6636,58.819,50.819
368730,19236365428,8,10.0.0.41,10.0.0.42,37,high,6636,58.82,50.82
1,42,20,10.0.0.2,10.0.0.6,1,low,6633,20.729,0.729
3,126,20,10.0.0.6,10.0.0.2,1,high,6633,20.729,0.729
131478,8738852,14,10.0.0.2,10.0.0.6,1,high,6633,65.008,51.008
359336,18766913656,14,10.0.0.6,10.0.0.2,1,high,6633,65.014,51.014
1892,1025464,51,10.0.0.21,10.0.0.22,12,high,6634,71.329,20.329
10,682,50,10.0.0.22,10.0.0.21,12,low,6634,71.403,21.403
11,760,9,10.0.0.22,10.0.0.21,12,low,6634,30.386,21.386
1913,1036846,10,10.0.0.21,10.0.0.22,12,high,6634,30.307,20.307
9,636,9,10.0.0.21,10.0.0.22,12,low,6634,30.387,21.387
10,714,50,10.0.0.21,10.0.0.22,12,low,6634,71.415,21.415
1,42,18,10.0.0.35,10.0.0.36,21,low,6635,18.54,0.54
1,42,55,10.0.0.36,10.0.0.35,21,low,6635,55.977,0.977
1,42,18,10.0.0.36,10.0.0.35,21,low,6635,18.552,0.552
3572184,167071076416,5,10.0.0.35,10.0.0.36,21,high,6635,55.977,50.977
2230277,147423894,5,10.0.0.36,10.0.0.35,21,high,6635,55.969,50.969
1,42,33,10.0.0.41,10.0.0.42,37,low,6636,33.83,0.83
10,741,22,10.0.0.42,10.0.0.41,37,low,6636,22.904,0.904
12,873,23,10.0.0.42,10.0.0.41,37,low,6636,23.4,0.4
12,873,28,10.0.0.42,10.0.0.41,37,low,6636,28.486,0.486
7,543,23,10.0.0.42,10.0.0.41,37,low,6636,23.89,0.89
11,807,28,10.0.0.42,10.0.0.41,37,low,6636,28.997,0.997
11,6423,25,10.0.0.41,10.0.0.42,37,high,6636,25.918,0.918
13,6567,33,10.0.0.41,10.0.0.42,37,high,6636,33.829,0.829
8,6225,24,10.0.0.41,10.0.0.42,37,high,6636,24.392,0.392
10,6357,16,10.0.0.41,10.0.0.42,37,high,6636,16.797,0.797
10,741,29,10.0.0.42,10.0.0.41,37,low,6636,29.543,0.543
2,140,26,10.0.0.41,10.0.0.42,37,low,6636,26.441,0.441
10,741,33,10.0.0.42,10.0.0.41,37,low,6636,33.83,0.83
11,6423,27,10.0.0.41,10.0.0.42,37,high,6636,27.974,0.974
10,741,27,10.0.0.42,10.0.0.41,37,low,6636,27.484,0.484
9,675,26,10.0.0.42,10.0.0.41,37,low,6636,26.954,0.954
7,6159,24,10.0.0.41,10.0.0.42,37,high,6636,24.891,0.891
10,6357,32,10.0.0.41,10.0.0.42,37,high,6636,32.294,0.294
11,6423,27,10.0.0.41,10.0.0.42,37,high,6636,27.483,0.483
9,6291,26,10.0.0.41,10.0.0.42,37,high,6636,26.951,0.951
10,741,25,10.0.0.42,10.0.0.41,37,low,6636,25.92,0.92
9,675,26,10.0.0.42,10.0.0.41,37,low,6636,26.454,0.454
12,873,25,10.0.0.42,10.0.0.41,37,low,6636,25.428,0.428
10,741,24,10.0.0.42,10.0.0.41,37,low,6636,24.394,0.394
11,6435,30,10.0.0.41,10.0.0.42,37,high,6636,30.72,0.72
10,6357,25,10.0.0.41,10.0.0.42,37,high,6636,25.415,0.415
10,6357,28,10.0.0.41,10.0.0.42,37,high,6636,28.988,0.988
10,6357,23,10.0.0.41,10.0.0.42,37,high,6636,23.397,0.397
7,6159,23,10.0.0.41,10.0.0.42,37,high,6636,23.888,0.888
10,6357,28,10.0.0.41,10.0.0.42,37,high,6636,28.482,0.482
8,6225,29,10.0.0.41,10.0.0.42,37,high,6636,29.538,0.538
13,927,32,10.0.0.42,10.0.0.41,37,low,6636,32.307,0.307
11,6423,22,10.0.0.41,10.0.0.42,37,high,6636,22.902,0.902
11,807,27,10.0.0.42,10.0.0.41,37,low,6636,27.981,0.981
11,807,16,10.0.0.42,10.0.0.41,37,low,6636,16.801,0.801
